18

3 3
0 1 1000
1 2 15
2 1 -42

4 4
0 1 10
1 2 20
2 3 30
3 0 -60

9 10
0 1 2
1 2 2
2 3 2
3 0 2
0 4 -3
4 5 -1
5 6 -1
6 7 -1
7 8 -1
8 0 -1

9 10
0 1 2
1 2 2
2 3 2
3 0 2
0 4 -4
4 5 -1
5 6 -1
6 7 -1
7 8 -1
8 0 -1

9 10
0 1 2
1 2 2
2 3 2
3 0 2
0 4 -2
4 5 -1
5 6 -1
6 7 -1
7 8 -1
8 0 -1

10 11
0 1 -2
1 2 -2
2 3 -2
3 0 -2
0 4 4
4 5 1
5 6 1
6 7 1
7 8 1
8 0 1
8 9 1

10 11
0 1 -2
1 2 -2
2 3 -2
3 0 -2
0 4 4
4 5 1
5 6 1
6 7 1
7 8 1
8 0 1
9 8 1

9 10
0 1 2
1 2 2
2 3 2
3 0 2
0 4 -2
4 5 -1
5 1 -1
6 7 -1
7 8 -1
8 0 -1

1000 1000
625 34 -252
119 349 539
532 746 -923
757 980 47
306 357 -920
892 728 960
675 382 -863
207 980 943
627 366 215
364 970 593
750 777 218
452 526 -310
198 417 -778
530 494 980
887 893 -362
967 973 -470
349 933 205
682 422 764
48 717 -609
370 285 755
147 878 -143
25 97 661
442 787 859
289 361 -259
182 693 980
508 331 948
441 861 -351
216 418 331
285 182 -269
570 573 101
449 680 249
898 890 -726
37 551 -931
398 763 -642
92 504 -460
423 837 48
637 785 842
407 786 410
942 470 695
515 201 -734
548 303 67
790 904 317
341 530 354
456 599 -896
313 957 548
150 498 972
287 898 -39
73 740 368
543 150 310
97 198 178
400 816 78
656 235 868
186 552 561
786 258 -982
95 362 -669
945 911 -167
844 235 120
936 548 -807
439 916 -911
637 579 186
805 109 -414
40 187 -406
592 407 -220
202 968 918
564 338 -986
827 21 959
414 854 155
962 974 92
231 520 531
810 609 -480
919 795 -675
458 733 -635
217 327 -691
185 459 863
876 378 -221
897 744 -393
104 55 -627
78 211 -664
950 655 -433
559 538 -623
354 58 648
439 735 458
118 452 675
578 113 -788
308 976 88
404 755 338
459 714 794
22 88 224
29 776 -825
567 343 -266
977 72 -559
712 72 880
164 530 999
277 557 929
605 769 237
361 210 -7
427 900 -548
867 694 827
643 918 856
986 93 -224
410 180 -247
482 621 -534
364 853 -18
273 204 -388
43 133 217
605 722 930
857 715 710
903 520 -423
821 699 221
267 555 -441
799 331 322
772 85 -196
625 903 521
182 237 -206
667 849 189
390 419 -854
457 349 3
329 59 906
28 989 -920
936 562 699
267 121 498
704 443 -378
959 600 -401
197 473 781
46 267 -551
817 457 -809
167 955 -1000
578 959 -670
919 865 358
481 297 294
955 996 -86
750 846 -30
350 468 -718
823 68 479
443 201 877
252 2 -305
207 193 -786
518 194 -856
736 524 64
33 234 -455
382 881 500
580 147 251
49 117 -47
469 399 -871
22 230 572
25 460 176
570 155 -617
764 721 -98
640 865 -362
227 929 -977
108 475 -595
607 327 986
724 930 387
476 884 208
58 13 230
518 937 -393
673 113 178
394 496 294
612 750 287
541 740 -486
368 764 -26
696 169 581
626 507 657
862 894 133
875 454 -456
812 685 62
925 644 736
774 822 482
876 117 -906
617 404 -12
381 270 -644
902 244 -596
410 177 -617
656 834 245
111 320 473
148 864 -715
792 926 563
967 14 689
84 849 565
840 943 -818
462 931 915
58 640 -182
235 44 580
421 779 236
741 25 347
957 850 847
884 135 -360
250 50 607
99 91 -957
395 657 235
678 191 697
318 107 -245
715 277 990
494 857 411
871 93 -495
721 793 462
209 640 698
611 632 -51
703 591 400
360 634 -205
903 869 -526
10 918 144
639 673 -141
496 15 -294
942 779 929
87 636 651
79 98 212
712 149 823
303 450 526
290 850 -762
159 998 -858
430 824 504
455 968 496
471 180 -8
602 886 -714
238 815 -627
688 818 805
837 30 -483
287 206 172
490 732 462
488 323 -26
312 817 404
632 673 859
812 169 -318
698 514 284
866 800 -126
684 526 -437
67 331 -248
273 200 -960
357 372 -118
32 835 722
849 809 34
523 565 18
44 776 831
558 459 -471
711 95 747
589 970 -216
920 533 -149
472 285 -524
844 677 185
31 911 218
192 633 419
757 19 294
534 38 -661
345 869 -751
440 750 -40
410 498 901
295 282 -827
933 485 -355
962 961 -158
874 146 873
507 716 66
527 136 -825
565 430 61
786 121 -242
536 371 -801
34 683 -39
668 585 609
153 758 -106
114 756 -144
613 598 -270
329 471 -410
465 889 117
248 417 -966
369 830 -180
92 589 -292
128 140 -257
65 453 -589
175 62 -435
931 956 -969
529 813 644
353 895 -26
594 485 791
363 954 391
194 988 -887
135 160 -795
275 869 685
728 964 750
143 727 -74
99 644 -791
264 676 739
160 672 -556
997 646 390
952 790 -246
292 181 948
805 294 -565
674 852 710
990 537 790
717 640 933
714 566 385
390 775 -351
62 866 -191
61 662 159
203 53 -889
736 159 -597
383 459 208
235 894 234
124 604 576
116 746 -354
682 680 360
810 65 -898
28 66 -836
691 228 577
96 387 780
255 498 -483
714 253 -748
960 814 -161
916 400 963
662 977 -920
694 975 -886
759 335 -724
178 437 -695
406 953 348
793 883 -204
291 15 403
896 884 469
710 136 429
463 975 345
792 291 7
767 723 -298
454 837 813
243 466 -9
548 123 397
431 471 -458
447 619 -815
683 22 82
820 491 144
147 920 959
